condition,id,display_text,english_gloss,list_primary,list_secondary,pred_top1,pred_top2,pred_top3,top1_confidence,hits1,hits3,partial_credit,top1_reasoning
I_TamilScript,11,எங்குலு யெப்ப முகிடு பண்ட நிர்ணய மல்பொனெர்த் தும்பு முகியெரெ,They ended our agreement before the time we decided,Consumer/Money/Debt,Courts/Legal-System,Land/Property,Torts/Individuals,Housing,0.85,False,False,False,Dispute over property boundary or fence
I_TamilScript,12,யான் காகஜித மித்த் புதர் பாட்யெ மாத்ர தாத பரெதின பண்ட கொத்திஜ,I signed a paper but did not understand what it said,Courts/Legal-System,Consumer/Money/Debt,Torts/Individuals,Land/Property,Housing,0.85,False,False,False,Property damage caused by another person
I_TamilScript,13,யான் காகஜித மித்த் புதர் பாடி பொக்க அகுலு தாத நிர்ணய மல்தெரெ,After I signed the paper they did not do what they agreed to,Consumer/Money/Debt,,Torts/Individuals,Land/Property,Housing,0.85,False,False,False,Property damage caused by another person
I_TamilScript,14,எங்க் ஓ வா கோர்ட்க் போடு பண்ட கொத்திஜ்ஜி,I don't know which court I should go to,Courts/Legal-System,,Courts/Legal-System,Housing,Torts/Individuals,0.95,True,True,False,The phrase 'we are going to court' suggests a legal dispute or lawsuit.
I_TamilScript,15,எங்க் காஸு கொரொடுபின ஜன பேதெ ஜாகட் உல்லரெ,The person who owes me money is in a different place,Courts/Legal-System,Consumer/Money/Debt,Land/Property,Torts/Individuals,Housing,0.85,False,False,False,Neighborly dispute over shared boundary
I_TamilScript,16,என்ன நெரெகரெத நா மர என்ன இல்ல்த மித்த் பூருது ஹாள் மல்த்ண்ட்,My neighbor's tree fell on my house and damaged it,Torts/Individuals,Housing,Torts/Individuals,Land/Property,Housing,0.85,True,True,False,Property taken without permission
I_TamilScript,17,ஏரோ என்ன ஜாகத மித்த் கெந்நிஜ்தெ குல்லுது போபுஜெ,Someone is living on my land without asking and won't leave,Land/Property,Housing,Torts/Individuals,Housing,IP/Identity,0.85,False,True,True,"Someone entered your home without permission and took something, refusing to return it."
I_TamilScript,18,பேதெ ஜன அக்லென ஸாமான் த மித்த் என்ன புதர் பாட்த் மருவெர்,Someone is selling their things using my name,IP/Identity,,Torts/Individuals,Land/Property,Housing,0.85,False,False,False,Property damage caused by another person's actions without permission
I_TamilScript,19,என்ன பரத்த் தனி எனன் பொஸ பேலெ ஶுரு மல்பெரெ ஒந்தியெரெ,My old employer is stopping me from starting my own work,Work/Employment,,Land/Property,Torts/Individuals,Housing,0.85,False,False,False,Trespass or encroachment on one's land or property
I_TamilScript,20,என்ன குடும்ப என்ன அப்பெ தீர் போயி பொக்க கொர்பின த ஜாக தெத்தெர,After my father passed away my family took the land that was meant to be given to me,Estates/Wills,Land/Property,Estates/Wills,Land/Property,Torts/Individuals,0.85,True,True,False,Family dispute over inheritance
J_MalayalamScript,1,എന്ന യജമാന എന്ന കാസു വാപസ് കൊർതിജ്ജരെ,My landlord did not give back my money,Housing,Consumer/Money/Debt,Housing,Consumer/Money/Debt,Torts/Individuals,0.85,True,True,False,Landlord-tenant deposit dispute
J_MalayalamScript,2,എന്ന ധനി ഈ തിംഗൊലു കാസു കൊർതിജ്ജരെ,My employer did not pay me this month,Work/Employment,,Consumer/Money/Debt,Torts/Individuals,IP/Identity,0.85,False,False,False,Unauthorized taking of money
J_MalayalamScript,3,ഏരോ എന്ന ബൈലി തുണ്ഡു മൽത്ദ് എഡ്ഡെ മൽതിജ്ജി,Someone broke my fence and did not fix it,Torts/Individuals,,Land/Property,Torts/Individuals,Housing,0.85,False,True,True,Dispute over property boundary and trespassing
J_MalayalamScript,4,യാൻ ഏരെഗോ കാസു കൊരി ബൊക്ക ആൽ പോയൽ,I gave someone money and they disappeared,Consumer/Money/Debt,,Torts/Individuals,Housing,Courts/Legal-System,0.85,False,False,False,Unauthorized entry into a house
J_MalayalamScript,5,എന്ന നെരെകരെ എന്ന ജാഗ ദെത്ത്ദെ,My neighbor took my land,Land/Property,,Land/Property,Torts/Individuals,Housing,0.85,True,True,False,Neighbor taking or occupying someone's land without permission
J_MalayalamScript,6,ഏരോ എനൻ ബഡുതു പാഡി ബൊക്ക എന്ന കൈ ബെനെ ഉണ്ഡു,After someone hit me with a stick my hand hurts,Torts/Individuals,,Consumer/Money/Debt,Torts/Individuals,Housing,0.95,False,True,True,Money taken without permission
J_MalayalamScript,7,എന്ന ധനി യാൻ പോഡു പണ്ഡ പണ്ഡരെ മാത്ര ദാൽ കാരണ കൊർതിജ്ജർ,My boss told me to leave without any reason,Work/Employment,,Consumer/Money/Debt,Torts/Individuals,Housing,0.85,False,False,False,Unauthorized taking of money
J_MalayalamScript,8,യാൻ കാസു സാല കൊർതിന ജന വാപസ് കൊർതിജ്ജരെ,The person I lent money to is not returning it,Consumer/Money/Debt,,Consumer/Money/Debt,Torts/Individuals,Housing,0.85,True,True,False,Someone took the person's money without permission and refuses to return it.
J_MalayalamScript,9,എന്ന ഒപ്പിഗെ ഇജ്ജാന്ദെ ഏരോ എന്ന ഇല്ല്ഗ് ബത്തെ,Someone came into my house without my permission,Housing,Land/Property,Torts/Individuals,Land/Property,Housing,0.85,False,True,True,Property taken without permission and refusal to return
J_MalayalamScript,10,അക്ലെഗ് എങ്കുലു ഏത് നിർണയ മൽതിന കാസു ജാസ്തി ബോഡു,They want more money than what we decided,Consumer/Money/Debt,,Land/Property,Housing,Torts/Individuals,0.85,False,False,False,Dispute over shared property and refusal to vacate
J_MalayalamScript,11,എങ്കുലു യെപ്പ മുഗിഡു പണ്ഡ നിർണയ മല്പൊനെർദ് ദുംബു മുഗിയെരെ,They ended our agreement before the time we decided,Consumer/Money/Debt,Courts/Legal-System,Land/Property,Torts/Individuals,Housing,0.85,False,False,False,Dispute over property boundary and alleged encroachment by a neighbor
J_MalayalamScript,12,യാൻ കാഗജിദ മിത്ത് പുദർ പാഡ്യെ മാത്ര ദാദ ബരെദിന പണ്ഡ ഗൊത്തിജ,I signed a paper but did not understand what it said,Courts/Legal-System,Consumer/Money/Debt,IP/Identity,Torts/Individuals,Housing,0.85,False,False,False,Misuse of personal document
J_MalayalamScript,13,യാൻ കാഗജിദ മിത്ത് പുദർ പാഡി ബൊക്ക അകുലു ദാദ നിർണയ മൽതെരെ,After I signed the paper they did not do what they agreed to,Consumer/Money/Debt,,Courts/Legal-System,Housing,Torts/Individuals,0.85,False,False,False,Issue with a legal process or procedure
J_MalayalamScript,14,എങ്ക് ഓ വാ കോർട്ഗ് പോഡു പണ്ഡ ഗൊത്തിജ്ജി,I don't know which court I should go to,Courts/Legal-System,,Courts/Legal-System,Land/Property,Torts/Individuals,0.95,True,True,False,Court order dispute
J_MalayalamScript,15,എങ്ക് കാസു കൊരൊഡുപിന ജന ബേതെ ജാഗഡ് ഉല്ലരെ,The person who owes me money is in a different place,Courts/Legal-System,Consumer/Money/Debt,Land/Property,Torts/Individuals,Housing,0.85,False,False,False,Dispute over shared property boundary
J_MalayalamScript,16,എന്ന നെരെകരെത നാ മര എന്ന ഇല്ല്ദ മിത്ത് ബൂരുദു ഹാൾ മൽത്ണ്ഡ്,My neighbor's tree fell on my house and damaged it,Torts/Individuals,Housing,Torts/Individuals,Housing,Courts/Legal-System,0.85,True,True,False,Someone entering your house without permission
J_MalayalamScript,17,ഏരോ എന്ന ജാഗദ മിത്ത് കെന്നിജ്ദെ കുല്ലുദു പോപുജെ,Someone is living on my land without asking and won't leave,Land/Property,Housing,Land/Property,Torts/Individuals,Housing,0.85,True,True,False,Dispute over land or property
J_MalayalamScript,18,ബേതെ ജന അക്ലെന സാമാൻ ദ മിത്ത് എന്ന പുദർ പാഡ്ദ് മരുവെർ,Someone is selling their things using my name,IP/Identity,,Torts/Individuals,Housing,Land/Property,0.85,False,False,False,Someone entering your home without permission and refusing to leave
J_MalayalamScript,19,എന്ന പരത്ത് ധനി എനൻ പൊസ ബേലെ ശുരു മല്പെരെ ഒന്തിയെരെ,My old employer is stopping me from starting my own work,Work/Employment,,Consumer/Money/Debt,Torts/Individuals,Work/Employment,0.85,False,True,True,Fraud or unauthorized use of personal funds
J_MalayalamScript,20,എന്ന കുടുംബ എന്ന അപ്പെ തീർ പോയി ബൊക്ക കൊർപിന ദ ജാഗ ദെത്തെര,After my father passed away my family took the land that was meant to be given to me,Estates/Wills,Land/Property,Land/Property,Torts/Individuals,Estates/Wills,0.85,False,True,True,Unauthorized occupation of land or property by family members
