condition,id,display_text,english_gloss,retrieval_query,list_primary,list_secondary,pred_top1,pred_top2,pred_top3,top1_confidence,hits1,hits3,partial_credit,top_retrieval_score,top_retrieved_case,retrieved_doc_names,top1_reasoning
B_TuluOnly,13,yan kakaji-da mitte pudar padi boca akulu dadae nirnaya maltere panda maltijere,After I signed the paper they did not do what they agreed to,yan kakaji-da mitte pudar padi boca akulu dadae nirnaya maltere panda maltijere,Consumer/Money/Debt,,IP/Identity,Torts/Individuals,Courts/Legal-System,0.90,False,False,False,0.3607,Neelamegham vs. Assistant Commissioner & Special LAO,Neelamegham | Daneshwari | Sadashiva Shetty,The situation involves a dispute over someone's identity or the use of their name without permission.
B_TuluOnly,14,enk wo court-g podu panda gothiji,I don't know which court I should go to,enk wo court-g podu panda gothiji,Courts/Legal-System,,Courts/Legal-System,Land/Property,Housing,0.90,True,True,False,0.3604,Neelamegham vs. Assistant Commissioner & Special LAO,Neelamegham | Dr. Alfred Aranha | State,The situation involves a court case and legal issues.
B_TuluOnly,15,enk kas korodu-na jana betae jagga ullare,The person who owes me money is in a different place,enk kas korodu-na jana betae jagga ullare,Courts/Legal-System,Consumer/Money/Debt,Torts/Individuals,Housing,Consumer/Money/Debt,0.80,False,True,True,0.2991,Sadashiva Shetty vs. Vijaya Bank,Sadashiva Shetty | Vishwajit Umesh Naik | Nikitha A.,The situation involves a personal dispute between two individuals over property and financial matters.
B_TuluOnly,16,enna neerekare-na mara enna ille-da mitte burud'd hal maltinde,My neighbor's tree fell on my house and damaged it,enna neerekare-na mara enna ille-da mitte burud'd hal maltinde,Torts/Individuals,Housing,Consumer/Money/Debt,Estates/Wills,Torts/Individuals,0.80,False,True,True,0.2184,Sadashiva Shetty vs. Vijaya Bank,Sadashiva Shetty | Vishwajit Umesh Naik | Smt. Victoria Anand,"The person is struggling to make ends meet, suggesting a financial crisis related to their personal consumption or debt."
B_TuluOnly,17,yera enna jagga-da mittae kenijja culud'd popujae,Someone is living on my land without asking and won't leave,yera enna jagga-da mittae kenijja culud'd popujae,Land/Property,Housing,Land/Property,Torts/Individuals,Courts/Legal-System,0.90,True,True,False,0.2694,Sadashiva Shetty vs. Vijaya Bank,Sadashiva Shetty | Vishwajit Umesh Naik | Akkamma,The dispute revolves around property given as part of the wedding ceremony.
B_TuluOnly,18,betae jana aklena samanda mitte enna pudar pad'd maruwae,Someone is selling their things using my name,betae jana aklena samanda mitte enna pudar pad'd maruwae,IP/Identity,,Torts/Individuals,Land/Property,Work/Employment,0.80,False,False,False,0.2715,Sadashiva Shetty vs. Vijaya Bank,Sadashiva Shetty | Vishwajit Umesh Naik | Akkamma,"The situation appears to involve a dispute between family members, specifically the wife's desire to separate from her husband and his refusal to accept it. This suggests a personal injury or tort-related issue."
B_TuluOnly,19,enna parat dhoni enan posa belae soor malpere ontaiyare,My old employer is stopping me from starting my own work,enna parat dhoni enan posa belae soor malpere ontaiyare,Work/Employment,,Courts/Legal-System,Housing,Consumer/Money/Debt,0.80,False,False,False,0.2862,Sadashiva Shetty vs. Vijaya Bank,Sadashiva Shetty | Neelamegham | Premalatha,"The person is trying to make sense of a complex issue, suggesting a legal or judicial matter."
B_TuluOnly,20,enna kotumba enna popae tir poyi boca enk korpina da jagga detere,After my father passed away my family took the land that was meant to be given to me,enna kotumba enna popae tir poyi boca enk korpina da jagga detere,Estates/Wills,Land/Property,Land/Property,Torts/Individuals,Housing,0.90,False,True,True,0.3356,Neelamegham vs. Assistant Commissioner & Special LAO,Neelamegham | Akkamma | Sadashiva Shetty,The situation involves someone taking the person's land without permission.
C_Phase1Priming,1,enna yejamaana enna kas wapas koryiijare,My landlord did not give back my money,enna yejamaana enna kas wapas koryiijare,Housing,Consumer/Money/Debt,Consumer/Money/Debt,Housing,Torts/Individuals,0.90,False,True,True,0.2963,Sadashiva Shetty vs. Vijaya Bank,Sadashiva Shetty | Neelamegham | Akkamma,"The situation revolves around a debt issue between the person and their landlord, with the person expecting to receive money that has not been returned."
C_Phase1Priming,2,enna dhani i thingoal kas koryijare,My employer did not pay me this month,enna dhani i thingoal kas koryijare,Work/Employment,,Torts/Individuals,Housing,Consumer/Money/Debt,0.80,False,False,False,0.2624,Nikitha A. vs. Santhosh Ghatke,Nikitha A. | Dr. Alfred Aranha | Nikitha A.,The situation involves a personal dispute between family members over property and financial matters.
C_Phase1Priming,3,yera enna bailee tundu maltd'd eddae maltijji,Someone broke my fence and did not fix it,yera enna bailee tundu maltd'd eddae maltijji,Torts/Individuals,,Torts/Individuals,Housing,Consumer/Money/Debt,0.90,True,True,False,0.3215,Sadashiva Shetty vs. Vijaya Bank,Sadashiva Shetty | Nikitha A. | Neelamegham,The person's fence was damaged by someone else and they refuse to fix it or take responsibility.
C_Phase1Priming,4,yan yera-g kas kori boca al poyal,I gave someone money and they disappeared,yan yera-g kas kori boca al poyal,Consumer/Money/Debt,,Torts/Individuals,Housing,Consumer/Money/Debt,0.80,False,True,True,0.3625,Neelamegham vs. Assistant Commissioner & Special LAO,Neelamegham | Dr. Alfred Aranha | Nikitha A.,The situation involves a personal dispute between family members regarding property rights and inheritance.
C_Phase1Priming,5,enna nerakare enna jagga detae,My neighbor took my land,enna nerakare enna jagga detae,Land/Property,,Land/Property,Torts/Individuals,Housing,0.90,True,True,False,0.2965,Sadashiva Shetty vs. Vijaya Bank,Sadashiva Shetty | Nikitha A. | Neelamegham,The situation involves someone taking the person's land without permission.
C_Phase1Priming,6,yera enan badutu padi boca enna kai benae undu,After someone hit me with a stick my hand hurts,yera enan badutu padi boca enna kai benae undu,Torts/Individuals,,Land/Property,Torts/Individuals,Housing,0.90,False,True,True,0.3470,Neelamegham vs. Assistant Commissioner & Special LAO,Neelamegham | Sadashiva Shetty | Nikitha A.,The situation involves someone taking the person's land without permission and refusing to leave.
C_Phase1Priming,7,enna dhani yan podu panda pandare matra dal karana kori-ijjar,My boss told me to leave without any reason,enna dhani yan podu panda pandare matra dal karana kori-ijjar,Work/Employment,,Work/Employment,Torts/Individuals,Courts/Legal-System,0.80,True,True,False,0.3018,Neelamegham vs. Assistant Commissioner & Special LAO,Neelamegham | Daneshwari | Premalatha,The situation appears to be related to a family dispute over property and inheritance.
C_Phase1Priming,8,yan kas sala kenuna jana wapas koryijare,The person I lent money to is not returning it,yan kas sala kenuna jana wapas koryijare,Consumer/Money/Debt,,Torts/Individuals,Housing,Consumer/Money/Debt,0.80,False,True,True,0.3267,Neelamegham vs. Assistant Commissioner & Special LAO,Neelamegham | Akkamma | Nikitha A.,The situation involves a dispute between the person and their spouse regarding shared property and finances.
C_Phase1Priming,9,enna oppigay ijjandae yera enna ille-g battae,Someone came into my house without my permission,enna oppigay ijjandae yera enna ille-g battae,Housing,Land/Property,Torts/Individuals,Housing,Land/Property,0.90,False,True,True,0.2990,Sadashiva Shetty vs. Vijaya Bank,Sadashiva Shetty | Neelamegham | Akkamma,The situation involves physical harm or damage caused by another person to their property.
C_Phase1Priming,10,akleg enkulu yette nirnaya maltina kas jasti bodu,They want more money than what we decided,akleg enkulu yette nirnaya maltina kas jasti bodu,Consumer/Money/Debt,,Consumer/Money/Debt,Land/Property,Housing,0.80,True,True,False,0.2915,Sadashiva Shetty vs. Vijaya Bank,Sadashiva Shetty | Neelamegham | Akkamma,"The situation involves a desire for something that belongs to someone else, suggesting a dispute over money or property."
C_Phase1Priming,11,enkulu yeppa mugiodu panda nirnaya malponaid dumbu mugiyere,They ended our agreement before the time we decided,enkulu yeppa mugiodu panda nirnaya malponaid dumbu mugiyere,Consumer/Money/Debt,Courts/Legal-System,Torts/Individuals,Housing,Consumer/Money/Debt,0.80,False,True,True,0.3462,Neelamegham vs. Assistant Commissioner & Special LAO,Neelamegham | Sadashiva Shetty | Nikitha A.,The situation involves someone taking something that belongs to the person without permission.
C_Phase1Priming,12,yan kakaji-da mittae pudar padyae matra dadae baryina panda gothiji,I signed a paper but did not understand what it said,yan kakaji-da mittae pudar padyae matra dadae baryina panda gothiji,Courts/Legal-System,Consumer/Money/Debt,Torts/Individuals,Land/Property,Estates/Wills,0.90,False,False,False,0.3372,Neelamegham vs. Assistant Commissioner & Special LAO,Neelamegham | Daneshwari | Ravishankara G.K.,"The situation involves a dispute over property rights and inheritance, which falls under the realm of tort law."
C_Phase1Priming,13,yan kakaji-da mitte pudar padi boca akulu dadae nirnaya maltere panda maltijere,After I signed the paper they did not do what they agreed to,yan kakaji-da mitte pudar padi boca akulu dadae nirnaya maltere panda maltijere,Consumer/Money/Debt,,Torts/Individuals,Courts/Legal-System,Consumer/Money/Debt,0.80,False,True,True,0.3607,Neelamegham vs. Assistant Commissioner & Special LAO,Neelamegham | Daneshwari | Sadashiva Shetty,"The situation involves someone taking the person's signature without permission, which is a form of property damage or harm caused by another individual."
C_Phase1Priming,14,enk wo court-g podu panda gothiji,I don't know which court I should go to,enk wo court-g podu panda gothiji,Courts/Legal-System,,Courts/Legal-System,Land/Property,Housing,0.80,True,True,False,0.3604,Neelamegham vs. Assistant Commissioner & Special LAO,Neelamegham | Dr. Alfred Aranha | State,The mention of 'court-g' and 'panda gothiji' suggests a legal issue or problem that needs to be resolved through the courts.
C_Phase1Priming,15,enk kas korodu-na jana betae jagga ullare,The person who owes me money is in a different place,enk kas korodu-na jana betae jagga ullare,Courts/Legal-System,Consumer/Money/Debt,Torts/Individuals,Housing,Consumer/Money/Debt,0.80,False,True,True,0.2991,Sadashiva Shetty vs. Vijaya Bank,Sadashiva Shetty | Vishwajit Umesh Naik | Nikitha A.,The situation involves a personal dispute between two individuals over property and financial matters.
C_Phase1Priming,16,enna neerekare-na mara enna ille-da mitte burud'd hal maltinde,My neighbor's tree fell on my house and damaged it,enna neerekare-na mara enna ille-da mitte burud'd hal maltinde,Torts/Individuals,Housing,Consumer/Money/Debt,Torts/Individuals,Courts/Legal-System,0.80,False,True,True,0.2184,Sadashiva Shetty vs. Vijaya Bank,Sadashiva Shetty | Vishwajit Umesh Naik | Smt. Victoria Anand,The person is facing a financial crisis due to an unexpected expense or debt that they cannot afford to pay.
C_Phase1Priming,17,yera enna jagga-da mittae kenijja culud'd popujae,Someone is living on my land without asking and won't leave,yera enna jagga-da mittae kenijja culud'd popujae,Land/Property,Housing,Land/Property,Torts/Individuals,Courts/Legal-System,0.80,True,True,False,0.2694,Sadashiva Shetty vs. Vijaya Bank,Sadashiva Shetty | Vishwajit Umesh Naik | Akkamma,"The dispute revolves around property (specifically a gold chain) that was given to the spouse as part of their wedding ceremony, which suggests a property-related issue."
C_Phase1Priming,18,betae jana aklena samanda mitte enna pudar pad'd maruwae,Someone is selling their things using my name,betae jana aklena samanda mitte enna pudar pad'd maruwae,IP/Identity,,Land/Property,Consumer/Money/Debt,Work/Employment,0.80,False,False,False,0.2715,Sadashiva Shetty vs. Vijaya Bank,Sadashiva Shetty | Vishwajit Umesh Naik | Akkamma,The situation involves disputes over property and financial matters.
C_Phase1Priming,19,enna parat dhoni enan posa belae soor malpere ontaiyare,My old employer is stopping me from starting my own work,enna parat dhoni enan posa belae soor malpere ontaiyare,Work/Employment,,Torts/Individuals,Land/Property,Housing,0.90,False,False,False,0.2862,Sadashiva Shetty vs. Vijaya Bank,Sadashiva Shetty | Neelamegham | Premalatha,The situation involves property damage or trespassing.
C_Phase1Priming,20,enna kotumba enna popae tir poyi boca enk korpina da jagga detere,After my father passed away my family took the land that was meant to be given to me,enna kotumba enna popae tir poyi boca enk korpina da jagga detere,Estates/Wills,Land/Property,Land/Property,Housing,Torts/Individuals,0.90,False,True,True,0.3356,Neelamegham vs. Assistant Commissioner & Special LAO,Neelamegham | Akkamma | Sadashiva Shetty,"The situation involves someone taking land without permission, which is a classic example of a property dispute."
D_KannadaScript,1,ಎನ್ನ ಯಜಮಾನ ಎನ್ನ ಕಾಸು ವಾಪಸ್ ಕೊರ್ತಿಜ್ಜರೆ,My landlord did not give back my money,ಎನ್ನ ಯಜಮಾನ ಎನ್ನ ಕಾಸು ವಾಪಸ್ ಕೊರ್ತಿಜ್ಜರೆ,Housing,Consumer/Money/Debt,Housing,Consumer/Money/Debt,Torts/Individuals,0.90,True,True,False,0.9453,Neelamegham vs. Assistant Commissioner & Special LAO,Neelamegham | Dr. Alfred Aranha | Shanty Kokoth,Landlord-tenant dispute over deposit return
D_KannadaScript,2,ಎನ್ನ ಧನಿ ಈ ತಿಂಗೊಲು ಕಾಸು ಕೊರ್ತಿಜ್ಜರೆ,My employer did not pay me this month,ಎನ್ನ ಧನಿ ಈ ತಿಂಗೊಲು ಕಾಸು ಕೊರ್ತಿಜ್ಜರೆ,Work/Employment,,Work/Employment,Consumer/Money/Debt,Torts/Individuals,0.80,True,True,False,0.9453,Neelamegham vs. Assistant Commissioner & Special LAO,Neelamegham | Dr. Alfred Aranha | Shanty Kokoth,Employment dispute with employer
D_KannadaScript,3,ಏರೋ ಎನ್ನ ಬೈಲಿ ತುಂಡು ಮಲ್ತ್‌ದ್ ಎಡ್ಡೆ ಮಲ್ತಿಜ್ಜಿ,Someone broke my fence and did not fix it,ಏರೋ ಎನ್ನ ಬೈಲಿ ತುಂಡು ಮಲ್ತ್‌ದ್ ಎಡ್ಡೆ ಮಲ್ತಿಜ್ಜಿ,Torts/Individuals,,Torts/Individuals,Land/Property,Housing,0.90,True,True,False,0.9692,Neelamegham vs. Assistant Commissioner & Special LAO,Neelamegham | Dr. Alfred Aranha | Shanty Kokoth,Physical harm/damage caused by another person without permission
D_KannadaScript,4,ಯಾನ್ ಏರೆಗೋ ಕಾಸು ಕೊರಿ ಬೊಕ್ಕ ಆಲ್ ಪೋಯಲ್,I gave someone money and they disappeared,ಯಾನ್ ಏರೆಗೋ ಕಾಸು ಕೊರಿ ಬೊಕ್ಕ ಆಲ್ ಪೋಯಲ್,Consumer/Money/Debt,,Consumer/Money/Debt,Torts/Individuals,Housing,0.90,True,True,False,0.9692,Neelamegham vs. Assistant Commissioner & Special LAO,Neelamegham | Dr. Alfred Aranha | Shanty Kokoth,The person has given money to someone and now that person has left without returning it.
D_KannadaScript,5,ಎನ್ನ ನೆರೆಕರೆ ಎನ್ನ ಜಾಗ ದೆತ್ತ್‌ದೆ,My neighbor took my land,ಎನ್ನ ನೆರೆಕರೆ ಎನ್ನ ಜಾಗ ದೆತ್ತ್‌ದೆ,Land/Property,,Land/Property,Torts/Individuals,Housing,0.90,True,True,False,0.9096,Neelamegham vs. Assistant Commissioner & Special LAO,Neelamegham | Dr. Alfred Aranha | Shanty Kokoth,Neighbor took land without permission
D_KannadaScript,6,ಏರೋ ಎನನ್ ಬಡುತು ಪಾಡಿ ಬೊಕ್ಕ ಎನ್ನ ಕೈ ಬೆನೆ ಉಂಡು,After someone hit me with a stick my hand hurts,ಏರೋ ಎನನ್ ಬಡುತು ಪಾಡಿ ಬೊಕ್ಕ ಎನ್ನ ಕೈ ಬೆನೆ ಉಂಡು,Torts/Individuals,,Torts/Individuals,Housing,Work/Employment,0.90,True,True,False,0.9943,Neelamegham vs. Assistant Commissioner & Special LAO,Neelamegham | Dr. Alfred Aranha | Shanty Kokoth,Physical interaction without permission
