condition,id,display_text,english_gloss,list_primary,list_secondary,pred_top1,pred_top2,pred_top3,top1_confidence,hits1,hits3,partial_credit,top1_reasoning
Kannada_full,4,ಯಾನ್ ಏರೆಗೋ ಕಾಸು ಕೊರಿ ಬೊಕ್ಕ ಆಲ್ ಪೋಯಲ್,I gave someone money and they disappeared,Consumer/Money/Debt,,Consumer/Money/Debt,Torts/Individuals,Housing,0.85,True,True,False,Money taken without permission
Kannada_full,5,ಎನ್ನ ನೆರೆಕರೆ ಎನ್ನ ಜಾಗ ದೆತ್ತ್‌ದೆ,My neighbor took my land,Land/Property,,Land/Property,Torts/Individuals,Housing,0.95,True,True,False,Neighbor taking land without permission
Kannada_full,6,ಏರೋ ಎನನ್ ಬಡುತು ಪಾಡಿ ಬೊಕ್ಕ ಎನ್ನ ಕೈ ಬೆನೆ ಉಂಡು,After someone hit me with a stick my hand hurts,Torts/Individuals,,Consumer/Money/Debt,Torts/Individuals,Housing,0.85,False,True,True,"Money taken without permission, leaving individual in financial difficulty"
Kannada_full,7,ಎನ್ನ ಧನಿ ಯಾನ್ ಪೋಡು ಪಂಡ ಪಂಡರೆ ಮಾತ್ರ ದಾಲ್ ಕಾರಣ ಕೊರ್ತಿಜ್ಜರ್,My boss told me to leave without any reason,Work/Employment,,Work/Employment,Consumer/Money/Debt,Torts/Individuals,0.95,True,True,False,Employment dispute over unpaid wages
Kannada_full,8,ಯಾನ್ ಕಾಸು ಸಾಲ ಕೊರ್ತಿನ ಜನ ವಾಪಸ್ ಕೊರ್ತಿಜ್ಜರೆ,The person I lent money to is not returning it,Consumer/Money/Debt,,Consumer/Money/Debt,Torts/Individuals,Housing,0.95,True,True,False,The situation involves a debt that needs to be repaid.
Kannada_full,9,ಎನ್ನ ಒಪ್ಪಿಗೆ ಇಜ್ಜಾಂದೆ ಏರೋ ಎನ್ನ ಇಲ್ಲ್‌ಗ್ ಬತ್ತೆ,Someone came into my house without my permission,Housing,Land/Property,Torts/Individuals,Housing,Courts/Legal-System,0.85,False,True,True,"Someone entered the person's house without permission, which is a classic example of property damage caused by another person"
Kannada_full,10,ಅಕ್ಲೆಗ್ ಎಂಕುಲು ಏತ್ ನಿರ್ಣಯ ಮಲ್ತಿನ ಕಾಸು ಜಾಸ್ತಿ ಬೋಡು,They want more money than what we decided,Consumer/Money/Debt,,Consumer/Money/Debt,Torts/Individuals,Housing,0.90,True,True,False,"The situation involves someone owing the person money, which falls under consumer/money/debt disputes."
Kannada_full,11,ಎಂಕುಲು ಯೆಪ್ಪ ಮುಗಿಡು ಪಂಡ ನಿರ್ಣಯ ಮಲ್ಪೊನೆರ್ದ್ ದುಂಬು ಮುಗಿಯೆರೆ,They ended our agreement before the time we decided,Consumer/Money/Debt,Courts/Legal-System,Work/Employment,Torts/Individuals,Housing,0.95,False,False,False,Abrupt end to employment without reason or notice
Kannada_full,12,ಯಾನ್ ಕಾಗಜಿದ ಮಿತ್ತ್ ಪುದರ್ ಪಾಡ್ಯೆ ಮಾತ್ರ ದಾದ ಬರೆದಿನ ಪಂಡ ಗೊತ್ತಿಜ್ಜಿ,I signed a paper but did not understand what it said,Courts/Legal-System,Consumer/Money/Debt,IP/Identity,Torts/Individuals,Courts/Legal-System,0.90,False,True,True,Misuse of personal identity
Kannada_full,13,ಯಾನ್ ಕಾಗಜಿದ ಮಿತ್ತ್ ಪುದರ್ ಪಾಡಿ ಬೊಕ್ಕ ಅಕುಲು ದಾದ ನಿರ್ಣಯ ಮಲ್ತೆರೆ ಪಂಡ ಮಲ್ತಿಜೆರೆ,After I signed the paper they did not do what they agreed to,Consumer/Money/Debt,,IP/Identity,Torts/Individuals,Courts/Legal-System,0.95,False,False,False,Misuse of personal identity
Kannada_full,14,ಎಂಕ್ ಓ ವಾ ಕೋರ್ಟ್‌ಗ್ ಪೋಡು ಪಂಡ ಗೊತ್ತಿಜ್ಜಿ,I don't know which court I should go to,Courts/Legal-System,,Courts/Legal-System,Housing,Consumer/Money/Debt,0.95,True,True,False,The situation clearly indicates confusion about which court to go to.
Kannada_full,15,ಎಂಕ್ ಕಾಸು ಕೊರೊಡುಪಿನ ಜನ ಬೇತೆ ಜಾಗಡ್ ಉಲ್ಲರೆ,The person who owes me money is in a different place,Courts/Legal-System,Consumer/Money/Debt,Land/Property,Torts/Individuals,Courts/Legal-System,0.95,False,True,True,Unauthorized occupation or trespass
Kannada_full,16,ಎನ್ನ ನೆರೆಕರೆತ ನಾ ಮರ ಎನ್ನ ಇಲ್ಲ್‌ದ ಮಿತ್ತ್ ಬೂರುದು ಹಾಳ್ ಮಲ್ತ್ಂಡ್,My neighbor's tree fell on my house and damaged it,Torts/Individuals,Housing,Torts/Individuals,Housing,Land/Property,0.95,True,True,False,Property damage caused by another person's negligence
Kannada_full,17,ಏರೋ ಎನ್ನ ಜಾಗದ ಮಿತ್ತ್ ಕೆನ್ನಿಜ್ದೆ ಕುಲ್ಲುದು ಪೋಪುಜೆ,Someone is living on my land without asking and won't leave,Land/Property,Housing,Land/Property,Torts/Individuals,Housing,0.95,True,True,False,Unauthorized occupation of land
Kannada_full,18,ಬೇತೆ ಜನ ಅಕ್ಲೆನ ಸಾಮಾನ್ ದ ಮಿತ್ತ್ ಎನ್ನ ಪುದರ್ ಪಾಡ್‌ದ್ ಮರುವೆರ್,Someone is selling their things using my name,IP/Identity,,IP/Identity,Torts/Individuals,Housing,0.95,True,True,False,Someone using another person's name without permission
Kannada_full,19,ಎನ್ನ ಪರತ್ತ್ ಧನಿ ಎನನ್ ಪೊಸ ಬೇಲೆ ಶುರು ಮಲ್ಪೆರೆ ಒಂತಿಯೆರೆ,My old employer is stopping me from starting my own work,Work/Employment,,Work/Employment,Consumer/Money/Debt,Torts/Individuals,0.95,True,True,False,Employment dispute with failure to pay
Kannada_full,20,ಎನ್ನ ಕುಟುಂಬ ಎನ್ನ ಅಪ್ಪೆ ತೀರ್ ಪೋಯಿ ಬೊಕ್ಕ ಕೊರ್ಪಿನ ದ ಜಾಗ ದೆತ್ತೆರೆ,After my father passed away my family took the land that was meant to be given to me,Estates/Wills,Land/Property,Estates/Wills,Land/Property,Housing,0.95,True,True,False,Family inheritance dispute after someone's passing
Tamil_sparse,1,என்ன யஜமான என்ன காஸு வாபஸ் கொர்திஜ்ஜரெ,My landlord did not give back my money,Housing,Consumer/Money/Debt,Housing,Torts/Individuals,Consumer/Money/Debt,0.85,True,True,False,Dispute about returning something (possibly a deposit) from someone who owns or controls a dwelling
Tamil_sparse,2,என்ன தனி ஈ திங்கொலு காஸு கொர்திஜ்ஜரெ,My employer did not pay me this month,Work/Employment,,Housing,Land/Property,Torts/Individuals,0.85,False,False,False,Dispute over property or possession
Tamil_sparse,3,ஏரோ என்ன பைலி துண்டு மல்த்த் எட்டெ மல்திஜ்ஜி,Someone broke my fence and did not fix it,Torts/Individuals,,Torts/Individuals,Housing,Land/Property,0.85,True,True,False,Property damage caused by another person
Tamil_sparse,4,யான் ஏரெகோ காஸு கொரி பொக்க ஆல் போயல்,I gave someone money and they disappeared,Consumer/Money/Debt,,Torts/Individuals,Housing,Consumer/Money/Debt,0.85,False,True,True,Property damage or trespassing
Tamil_sparse,5,என்ன நெரெகரெ என்ன ஜாக தெத்த்தெ,My neighbor took my land,Land/Property,,Torts/Individuals,Housing,Work/Employment,0.85,False,False,False,Unauthorized entry into someone's home
Tamil_sparse,6,ஏரோ எனன் படுது பாடி பொக்க என்ன கை பெனெ உண்டு,After someone hit me with a stick my hand hurts,Torts/Individuals,,Torts/Individuals,Land/Property,Housing,0.85,True,True,False,Property damage caused by another person
Tamil_sparse,7,என்ன தனி யான் போடு பண்ட பண்டரெ மாத்ர தால் காரண கொர்திஜ்ஜர்,My boss told me to leave without any reason,Work/Employment,,Torts/Individuals,Housing,Consumer/Money/Debt,0.85,False,False,False,Property damage caused by another person
Tamil_sparse,8,யான் காஸு ஸால கொர்தின ஜன வாபஸ் கொர்திஜ்ஜரெ,The person I lent money to is not returning it,Consumer/Money/Debt,,Housing,Torts/Individuals,Consumer/Money/Debt,0.85,False,True,True,Landlord-tenant deposit dispute
