model,condition,id,display_text,english_gloss,list_primary,list_secondary,pred_top1,pred_top2,pred_top3,top1_confidence,hits1,hits3,partial_credit,top1_reasoning
llama3,A,31,My workplace has not paid me for the extra hours I worked,My workplace has not paid me for the extra hours I worked,Work/Employment,,Work/Employment,Consumer/Money/Debt,Torts/Individuals,0.90,True,True,False,The person's problem is directly related to their employment and lack of payment.
llama3,A,32,I was fired the same week I told my boss I was sick,I was fired the same week I told my boss I was sick,Work/Employment,,Work/Employment,Torts/Individuals,IP/Identity,0.90,True,True,False,The situation revolves around the person's employment being terminated.
llama3,A,33,My employer is making me work without the safety equipment I was promised,My employer is making me work without the safety equipment I was promised,Work/Employment,,Work/Employment,Torts/Individuals,Consumer/Money/Debt,0.90,True,True,False,The situation revolves around the person's employment relationship and a breach of promised safety equipment.
llama3,A,34,I was promised a promotion but someone else got it without explanation,I was promised a promotion but someone else got it without explanation,Work/Employment,,Work/Employment,Torts/Individuals,Courts/Legal-System,0.90,True,True,False,The situation revolves around a job-related issue and perceived breach of promise.
llama3,A,35,My employer refuses to give me my final paycheck after I quit,My employer refuses to give me my final paycheck after I quit,Work/Employment,Consumer/Money/Debt,Work/Employment,Consumer/Money/Debt,Torts/Individuals,0.90,True,True,False,The situation involves a dispute between an employee and their employer regarding payment for work done.
llama3,A,36,My neighbor built a wall that crosses onto my land,My neighbor built a wall that crosses onto my land,Land/Property,,Land/Property,Torts/Individuals,Housing,0.90,True,True,False,The issue revolves around a physical boundary and the ownership of the land.
llama3,A,37,Someone is tilling on land that belongs to my family without asking,Someone is tilling on land that belongs to my family without asking,Land/Property,,Land/Property,Torts/Individuals,Courts/Legal-System,0.90,True,True,False,The situation involves a dispute over ownership and use of land.
llama3,A,38,The boundary markers on my property were moved without my knowledge,The boundary markers on my property were moved without my knowledge,Land/Property,,Land/Property,Housing,Torts/Individuals,0.90,True,True,False,The issue revolves around physical boundaries of property being altered without consent.
llama3,A,39,My brother is claiming a part of our family's land is his alone,My brother is claiming a part of our family's land is his alone,Land/Property,Estates/Wills,Land/Property,Torts/Individuals,Courts/Legal-System,0.90,True,True,False,"The situation involves a dispute over ownership of family land, which is a classic example of a Land/Property issue."
llama3,A,40,Someone cut down trees on my property without permission,Someone cut down trees on my property without permission,Land/Property,Torts/Individuals,Torts/Individuals,Land/Property,Courts/Legal-System,0.90,False,True,True,Unauthorized action taken by another individual that affects property rights
llama3,B,21,enklena tirpu maltina samayada dunbu enna dhani badige jasti malpere prayatna maltonduller.,My landlord is trying to raise my rent before our agreement ends,Housing,Consumer/Money/Debt,Estates/Wills,Courts/Legal-System,Torts/Individuals,0.90,False,False,False,"The situation involves a dispute over property rights and inheritance, which are typical issues related to estates and wills."
llama3,B,22,baritakulu et bobbe padonduller panda enk ratred jeppere avondiji.,The people next door make so much noise I cannot sleep at night,Housing,Torts/Individuals,Land/Property,Torts/Individuals,Housing,0.90,False,True,True,The situation involves someone taking the person's land without permission and refusing to leave.
llama3,B,23,enna adipilda hal ayina nallin enna dhani sari malpere tayar ijjer.,My landlord will not fix the broken pipe in my kitchen,Housing,,Estates/Wills,Courts/Legal-System,Torts/Individuals,0.80,False,False,False,"The situation involves a dispute over inheritance or property rights, which is typical of estates and wills."
llama3,B,24,enk badigeda illan budiyere khali radd dinata vayide koryer.,I was told to leave my rented house with only two days notice,Housing,,Consumer/Money/Debt,Housing,Work/Employment,0.90,False,True,True,"The situation involves borrowing and repaying money, which is a classic consumer finance issue."
llama3,B,25,enna sahavasi ill buddu badadigen pura enna mitte padd poyer.,My roommate moved out and left me to pay all the rent,Housing,Consumer/Money/Debt,Courts/Legal-System,Work/Employment,Housing,0.80,False,True,True,"The passage mentions a court case (ಪ್ರಧಾನ ಸಿವಿಲ್ ನ್ಯಾಯಾಧೀಶರು) and the person's education background, which suggests that they are seeking legal recourse or have a dispute to resolve."
llama3,B,26,enk onji hal ayna phon-n mard daangadida dhani kasn pira korere tayar ijjer.,The shop owner sold me a broken phone and won't give my money back,Consumer/Money/Debt,,Land/Property,Torts/Individuals,Courts/Legal-System,0.90,False,False,False,The situation involves someone taking the person's land without permission and refusing to leave.
llama3,B,27,yan pura kas kori bokkala belen purti maltijer.,I paid for a service that was never completed,Consumer/Money/Debt,,Estates/Wills,Consumer/Money/Debt,Torts/Individuals,0.80,False,True,True,"The situation involves an inheritance and a will, indicating estate planning is the primary concern."
llama3,B,28,"enna megge radd varshada dunbu ennadda sara dettonde, aven nanla pira kortije.",My brother borrowed money from me two years ago and still has not paid,Consumer/Money/Debt,,Consumer/Money/Debt,Torts/Individuals,Courts/Legal-System,0.90,True,True,False,"The situation involves borrowing and repaying money, which is a classic consumer/money/debt issue."
llama3,B,29,enna oppandina shulkag byank enna mitt kas padondundu.,The bank is charging me fees I never agreed to,Consumer/Money/Debt,,Consumer/Money/Debt,Torts/Individuals,Courts/Legal-System,0.90,True,True,False,The person is struggling to pay a debt and seeking help or guidance on how to resolve the issue.
llama3,B,30,ero enan onji dongi astida mitt kas padere oppayer.,Someone convinced me to invest in something that turned out to be fake,Consumer/Money/Debt,,Estates/Wills,Land/Property,Torts/Individuals,0.90,False,False,False,"The situation involves a dispute over property rights and ownership, which is typical of estate or will-related issues."
llama3,B,31,yan maltina jasti kelsag enk beleda jagadd kas tikkiji.,My workplace has not paid me for the extra hours I worked,Work/Employment,,Housing,Torts/Individuals,Courts/Legal-System,0.90,False,False,False,The situation revolves around a person's need to move into someone else's home.
llama3,B,32,yan dhanita yan hushar ijji pandd pandina varade ar enan beledd detter.,I was fired the same week I told my boss I was sick,Work/Employment,,Consumer/Money/Debt,Courts/Legal-System,Torts/Individuals,0.90,False,False,False,The situation involves a financial issue related to debt or loan repayment.
llama3,B,33,enna dhani enan suraksha dipina saman korper pand pandi bokka aven korande enada bele malpavonduller.,My employer is making me work without the safety equipment I was promised,Work/Employment,,Torts/Individuals,Courts/Legal-System,Housing,0.90,False,False,False,The person is seeking protection from someone else's actions.
llama3,B,34,"enk onji promoshan korper pandd patera koryer, matra dala karana korande bete janak koryer.",I was promised a promotion but someone else got it without explanation,Work/Employment,,Torts/Individuals,Courts/Legal-System,Work/Employment,0.90,False,True,True,"The situation involves an individual experiencing harassment, which falls under the broader category of torts."
llama3,B,35,yan belen budi bokka enna dhani enna akherida sanbalan korondijjer.,My employer refuses to give me my final paycheck after I quit,Work/Employment,Consumer/Money/Debt,Land/Property,Torts/Individuals,Courts/Legal-System,0.90,False,False,False,The situation involves someone taking the person's land without permission.
llama3,B,36,enna nerekaredakulu aklena belin enna jagada ullayi mutta kattader.,My neighbor built a wall that crosses onto my land,Land/Property,,IP/Identity,Torts/Individuals,Courts/Legal-System,0.90,False,False,False,The situation involves unauthorized use of someone's identity or personal information.
llama3,B,37,enda kenande yera enna kutunbada jagad benni dattonduller.,Someone is tilling on land that belongs to my family without asking,Land/Property,,Land/Property,Torts/Individuals,Work/Employment,0.80,True,True,False,"The situation appears to involve disputes over a house or property, which is the primary focus of this category."
llama3,B,38,enna jagada belin yera dett budter.,The boundary markers on my property were moved without my knowledge,Land/Property,,Land/Property,Torts/Individuals,Housing,0.90,True,True,False,"The dispute revolves around physical assets and property, making Land/Property the most likely category."
llama3,B,39,enna palaye enna kutunbada jagada onji bhagan ayena matra pandd panondulle.,My brother is claiming a part of our family's land is his alone,Land/Property,Estates/Wills,Torts/Individuals,Land/Property,Work/Employment,0.90,False,True,True,"The situation involves a personal dispute between family members, which is a classic example of a tort."
llama3,B,40,enda kenande yera enna jagada maran kadter.,Someone cut down trees on my property without permission,Land/Property,Torts/Individuals,Consumer/Money/Debt,Torts/Individuals,Courts/Legal-System,0.80,False,True,True,"The situation appears to be related to a financial issue, specifically a debt or payment problem, given the mention of insufficient funds and a check being returned."
llama3,C_sparse,21,enklena tirpu maltina samayada dunbu enna dhani badige jasti malpere prayatna maltonduller.,My landlord is trying to raise my rent before our agreement ends,Housing,Consumer/Money/Debt,Estates/Wills,Courts/Legal-System,Torts/Individuals,0.90,False,False,False,The situation involves disputes over property rights and inheritance.
llama3,C_sparse,22,baritakulu et bobbe padonduller panda enk ratred jeppere avondiji.,The people next door make so much noise I cannot sleep at night,Housing,Torts/Individuals,Torts/Individuals,Courts/Legal-System,Land/Property,0.90,False,True,True,"The situation involves a family dispute over property and inheritance, which falls under the realm of tort law or individual rights."
llama3,C_sparse,23,enna adipilda hal ayina nallin enna dhani sari malpere tayar ijjer.,My landlord will not fix the broken pipe in my kitchen,Housing,,Estates/Wills,Courts/Legal-System,Torts/Individuals,0.90,False,False,False,The situation involves disputes over property rights and inheritance.
llama3,C_sparse,24,enk badigeda illan budiyere khali radd dinata vayide koryer.,I was told to leave my rented house with only two days notice,Housing,,Consumer/Money/Debt,Housing,Work/Employment,0.90,False,True,True,"The situation involves debt repayment, which is a classic consumer finance issue."
llama3,C_sparse,25,enna sahavasi ill buddu badadigen pura enna mitte padd poyer.,My roommate moved out and left me to pay all the rent,Housing,Consumer/Money/Debt,Courts/Legal-System,Work/Employment,Housing,0.80,False,True,True,The person is seeking a court order to settle an issue related to their education and employment.
llama3,C_sparse,26,enk onji hal ayna phon-n mard daangadida dhani kasn pira korere tayar ijjer.,The shop owner sold me a broken phone and won't give my money back,Consumer/Money/Debt,,Consumer/Money/Debt,Torts/Individuals,Courts/Legal-System,0.90,True,True,False,The person is struggling to pay their debts and facing financial difficulties.
llama3,C_sparse,27,yan pura kas kori bokkala belen purti maltijer.,I paid for a service that was never completed,Consumer/Money/Debt,,Estates/Wills,Land/Property,Torts/Individuals,0.90,False,False,False,The situation involves concerns about what happens to the person's property after they pass away.
llama3,C_sparse,28,"enna megge radd varshada dunbu ennadda sara dettonde, aven nanla pira kortije.",My brother borrowed money from me two years ago and still has not paid,Consumer/Money/Debt,,Torts/Individuals,Courts/Legal-System,Consumer/Money/Debt,0.90,False,True,True,"The situation involves a dispute over property rights, which falls under tort law."
llama3,C_sparse,29,enna oppandina shulkag byank enna mitt kas padondundu.,The bank is charging me fees I never agreed to,Consumer/Money/Debt,,Consumer/Money/Debt,Torts/Individuals,Courts/Legal-System,0.90,True,True,False,The situation involves a debt owed by someone else and the person is refusing to pay back.
llama3,C_sparse,30,ero enan onji dongi astida mitt kas padere oppayer.,Someone convinced me to invest in something that turned out to be fake,Consumer/Money/Debt,,Land/Property,Torts/Individuals,Courts/Legal-System,0.90,False,False,False,The situation involves a dispute over property rights and ownership.
llama3,C_sparse,31,yan maltina jasti kelsag enk beleda jagadd kas tikkiji.,My workplace has not paid me for the extra hours I worked,Work/Employment,,Housing,Consumer/Money/Debt,Courts/Legal-System,0.90,False,False,False,The person needs to move into someone else's home within a month.
llama3,C_sparse,32,yan dhanita yan hushar ijji pandd pandina varade ar enan beledd detter.,I was fired the same week I told my boss I was sick,Work/Employment,,Consumer/Money/Debt,Courts/Legal-System,Torts/Individuals,0.90,False,False,False,The person is facing a financial issue related to debt or loan repayment.
llama3,C_sparse,33,enna dhani enan suraksha dipina saman korper pand pandi bokka aven korande enada bele malpavonduller.,My employer is making me work without the safety equipment I was promised,Work/Employment,,Torts/Individuals,Housing,Consumer/Money/Debt,0.90,False,False,False,"The situation involves someone else's actions that might harm the person's property, which is a classic tort law scenario."
llama3,C_sparse,34,"enk onji promoshan korper pandd patera koryer, matra dala karana korande bete janak koryer.",I was promised a promotion but someone else got it without explanation,Work/Employment,,Torts/Individuals,Courts/Legal-System,Land/Property,0.90,False,False,False,The situation involves a personal dispute between two individuals over property rights.
llama3,C_sparse,35,yan belen budi bokka enna dhani enna akherida sanbalan korondijjer.,My employer refuses to give me my final paycheck after I quit,Work/Employment,Consumer/Money/Debt,Land/Property,Torts/Individuals,Courts/Legal-System,0.90,False,False,False,The situation involves a dispute over property rights and inheritance.
llama3,C_sparse,36,enna nerekaredakulu aklena belin enna jagada ullayi mutta kattader.,My neighbor built a wall that crosses onto my land,Land/Property,,Courts/Legal-System,Torts/Individuals,IP/Identity,0.90,False,False,False,The situation involves a dispute or conflict that may require legal resolution.
llama3,C_sparse,37,enda kenande yera enna kutunbada jagad benni dattonduller.,Someone is tilling on land that belongs to my family without asking,Land/Property,,Land/Property,Torts/Individuals,Courts/Legal-System,0.90,True,True,False,The situation involves disputes over property and inheritance.
llama3,C_sparse,38,enna jagada belin yera dett budter.,The boundary markers on my property were moved without my knowledge,Land/Property,,Torts/Individuals,Consumer/Money/Debt,Housing,0.90,False,False,False,"The situation involves an individual's personal property being taken without consent, which falls under the realm of tort law."
llama3,C_sparse,39,enna palaye enna kutunbada jagada onji bhagan ayena matra pandd panondulle.,My brother is claiming a part of our family's land is his alone,Land/Property,Estates/Wills,Torts/Individuals,Housing,Work/Employment,0.80,False,False,False,The situation involves a personal dispute between two individuals that may lead to legal action.
llama3,C_sparse,40,enda kenande yera enna jagada maran kadter.,Someone cut down trees on my property without permission,Land/Property,Torts/Individuals,Consumer/Money/Debt,Torts/Individuals,Courts/Legal-System,0.90,False,True,True,"The situation involves a debt that needs to be paid, which falls under the umbrella of consumer finance."
llama3,C_full,21,enklena tirpu maltina samayada dunbu enna dhani badige jasti malpere prayatna maltonduller.,My landlord is trying to raise my rent before our agreement ends,Housing,Consumer/Money/Debt,Estates/Wills,Courts/Legal-System,Torts/Individuals,0.90,False,False,False,The situation involves a dispute over property rights and inheritance.
llama3,C_full,22,baritakulu et bobbe padonduller panda enk ratred jeppere avondiji.,The people next door make so much noise I cannot sleep at night,Housing,Torts/Individuals,Torts/Individuals,Courts/Legal-System,Work/Employment,0.90,False,True,True,"The situation appears to be a family dispute related to inheritance, which falls under the broader category of torts or individual rights."
llama3,C_full,23,enna adipilda hal ayina nallin enna dhani sari malpere tayar ijjer.,My landlord will not fix the broken pipe in my kitchen,Housing,,Courts/Legal-System,Estates/Wills,Torts/Individuals,0.80,False,False,False,"The person is seeking a solution to their problem through legal means, as indicated by phrases like 'ಈ ದಿನ ತೀಪರ್ು' and 'ಅಜರ್ಿಯಲ್ಲಿ ನ್ಯಾಯಾಲಯ ಸೂಚಿಸಿದ ಪ್ರಕಾರ'"
llama3,C_full,24,enk badigeda illan budiyere khali radd dinata vayide koryer.,I was told to leave my rented house with only two days notice,Housing,,Consumer/Money/Debt,Housing,Torts/Individuals,0.90,False,True,True,The situation involves debt repayment and financial struggles.
llama3,C_full,25,enna sahavasi ill buddu badadigen pura enna mitte padd poyer.,My roommate moved out and left me to pay all the rent,Housing,Consumer/Money/Debt,Courts/Legal-System,Torts/Individuals,Work/Employment,0.90,False,False,False,"The situation involves a dispute over inheritance and property rights, which would likely require legal intervention to resolve."
llama3,C_full,26,enk onji hal ayna phon-n mard daangadida dhani kasn pira korere tayar ijjer.,The shop owner sold me a broken phone and won't give my money back,Consumer/Money/Debt,,Consumer/Money/Debt,Torts/Individuals,Courts/Legal-System,0.90,True,True,False,The person is struggling to pay their debts and is unable to make timely payments.
llama3,C_full,27,yan pura kas kori bokkala belen purti maltijer.,I paid for a service that was never completed,Consumer/Money/Debt,,Estates/Wills,Land/Property,Torts/Individuals,0.80,False,False,False,"The situation involves an ancestral property, which suggests a matter related to inheritance or estate planning."
llama3,C_full,28,"enna megge radd varshada dunbu ennadda sara dettonde, aven nanla pira kortije.",My brother borrowed money from me two years ago and still has not paid,Consumer/Money/Debt,,Consumer/Money/Debt,Torts/Individuals,Courts/Legal-System,0.80,True,True,False,The person is struggling to pay back a debt or loan.
llama3,C_full,29,enna oppandina shulkag byank enna mitt kas padondundu.,The bank is charging me fees I never agreed to,Consumer/Money/Debt,,Consumer/Money/Debt,Housing,Torts/Individuals,0.80,True,True,False,"The phrase 'enna oppandina shulkag byank enna mitt kas padondundu' suggests a financial issue, possibly related to debt or money owed."
llama3,C_full,30,ero enan onji dongi astida mitt kas padere oppayer.,Someone convinced me to invest in something that turned out to be fake,Consumer/Money/Debt,,Estates/Wills,Torts/Individuals,Consumer/Money/Debt,0.80,False,True,True,"The phrase 'ero enan onji dongi astida mitt kas padere oppayer' suggests a dispute over inheritance or property rights, which is typical of estates and wills cases."
llama3,C_full,31,yan maltina jasti kelsag enk beleda jagadd kas tikkiji.,My workplace has not paid me for the extra hours I worked,Work/Employment,,Housing,Consumer/Money/Debt,Work/Employment,0.90,False,True,True,The situation involves moving into someone else's house and taking care of it for a month.
llama3,C_full,32,yan dhanita yan hushar ijji pandd pandina varade ar enan beledd detter.,I was fired the same week I told my boss I was sick,Work/Employment,,Consumer/Money/Debt,Torts/Individuals,IP/Identity,0.90,False,False,False,"The situation involves a lack of funds and no translation available, which suggests that it may be related to financial issues."
llama3,C_full,33,enna dhani enan suraksha dipina saman korper pand pandi bokka aven korande enada bele malpavonduller.,My employer is making me work without the safety equipment I was promised,Work/Employment,,Housing,Torts/Individuals,Consumer/Money/Debt,0.90,False,False,False,"The situation involves a loan to buy something, which suggests housing-related issues."
llama3,C_full,34,"enk onji promoshan korper pandd patera koryer, matra dala karana korande bete janak koryer.",I was promised a promotion but someone else got it without explanation,Work/Employment,,Torts/Individuals,Courts/Legal-System,IP/Identity,0.90,False,False,False,"The situation involves a personal dispute between two individuals over property rights, which falls under the realm of tort law."
llama3,C_full,35,yan belen budi bokka enna dhani enna akherida sanbalan korondijjer.,My employer refuses to give me my final paycheck after I quit,Work/Employment,Consumer/Money/Debt,Consumer/Money/Debt,Torts/Individuals,Housing,0.90,False,True,True,The person is trying to recover their money that was taken away from them.
llama3,C_full,36,enna nerekaredakulu aklena belin enna jagada ullayi mutta kattader.,My neighbor built a wall that crosses onto my land,Land/Property,,Courts/Legal-System,Work/Employment,Torts/Individuals,0.90,False,False,False,The situation involves a dispute or conflict that may require legal intervention or resolution.
llama3,C_full,37,enda kenande yera enna kutunbada jagad benni dattonduller.,Someone is tilling on land that belongs to my family without asking,Land/Property,,Land/Property,Housing,Work/Employment,0.90,True,True,False,The situation involves disputes over property and inheritance.
llama3,C_full,38,enna jagada belin yera dett budter.,The boundary markers on my property were moved without my knowledge,Land/Property,,Land/Property,Torts/Individuals,Consumer/Money/Debt,0.90,True,True,False,The situation involves a dispute over property and assets.
llama3,C_full,39,enna palaye enna kutunbada jagada onji bhagan ayena matra pandd panondulle.,My brother is claiming a part of our family's land is his alone,Land/Property,Estates/Wills,Torts/Individuals,Housing,Work/Employment,0.90,False,False,False,The situation involves a personal dispute between two individuals that may lead to legal consequences.
llama3,C_full,40,enda kenande yera enna jagada maran kadter.,Someone cut down trees on my property without permission,Land/Property,Torts/Individuals,Consumer/Money/Debt,Torts/Individuals,Courts/Legal-System,0.90,False,True,True,"The situation involves a financial issue related to debt settlement, making Consumer/Money/Debt the most likely category."
llama3,D_sparse,21,ಎಂಕ್ಲೇನ ತಿರ್ಪು ಮಲ್ತಿನ ಸಮಯದ ದುಂಬು ಎನ್ನ ಧನಿ ಬಾಡಿಗೆ ಜಾಸ್ತಿ ಮಲ್ಪೆರೆ ಪ್ರಯತ್ನ ಮಲ್ತೋಂದುಲ್ಲೇರ್.,My landlord is trying to raise my rent before our agreement ends,Housing,Consumer/Money/Debt,Work/Employment,Housing,Estates/Wills,0.80,False,True,True,"The situation appears to be related to the person's family property and inheritance, which may involve some sort of employment or work-related issues."
llama3,D_sparse,22,ಬರೀತಕುಲು ಏತ್ ಬೊಬ್ಬೆ ಪಾಡೋಂದುಲ್ಲೇರ್ ಪನ್ಡ ಎಂಕ್ ರಾತ್ರೆಡ್ ಜೆಪ್ಪೆರೇ ಆವೊಂದಿಜಿ.,The people next door make so much noise I cannot sleep at night,Housing,Torts/Individuals,Courts/Legal-System,IP/Identity,Torts/Individuals,0.90,False,True,True,"The situation involves threats and demands, which suggest a legal or quasi-legal context."
llama3,D_sparse,23,ಎನ್ನ ಅಡಿಪಿಲ್ದಾ ಹಾಳ್ ಆಯಿನ ನಳ್ಳಿನ್ ಎನ್ನ ಧನಿ ಸರಿ ಮಲ್ಪೆರೆ ತಯಾರ್ ಇಜ್ಜೆರ್.,My landlord will not fix the broken pipe in my kitchen,Housing,,Consumer/Money/Debt,Work/Employment,Housing,0.90,False,True,True,The person's primary concern is their financial situation and struggle to pay bills.
llama3,D_sparse,24,ಎಂಕ್ ಬಾಡಿಗೆದ ಇಲ್ಲನ್ ಬುಡಿಯೆರೆ ಖಾಲಿ ರಡ್ಡ್ ದಿನತ ವಯಿದೇ ಕೊರ್ಯೇರ್.,I was told to leave my rented house with only two days notice,Housing,,Housing,Torts/Individuals,Consumer/Money/Debt,0.90,True,True,False,"The person is facing a housing issue, specifically being evicted from their home."
llama3,D_sparse,25,ಎನ್ನ ಸಹವಾಸಿ ಇಲ್ಲ್ ಬುಡ್ದು ಬಾದಡಿಗೆನ್ ಪುರಾ ಎನ್ನ ಮಿತ್ತೆ ಪಾಡ್ದ್ ಪೋಯೇರ್.,My roommate moved out and left me to pay all the rent,Housing,Consumer/Money/Debt,Torts/Individuals,Land/Property,Work/Employment,0.90,False,False,False,"The situation involves a dispute between individuals over shared property, which falls under the realm of tort law."
llama3,D_sparse,26,ಎಂಕ್ ಒಂಜಿ ಹಾಳ್ ಆಯ್ನ ಫೋನ್-ನ್ ಮಾರ್ದ್ ದಅಂಗಡಿದ ಧನಿ ಕಾಸ್ನ್ ಪಿರಾ ಕೊರೆರೆ ತಯಾರ್ ಇಜ್ಜೆರ್.,The shop owner sold me a broken phone and won't give my money back,Consumer/Money/Debt,,Consumer/Money/Debt,Land/Property,Torts/Individuals,0.80,True,True,False,Financial struggles and seeking help suggest a debt or financial difficulty issue.
llama3,D_sparse,27,ಯಾನ್ ಪೂರಾ ಕಾಸ್ ಕೊರಿ ಬೊಕ್ಕಲಾ ಬೇಲೆನ್ ಪೂರ್ತಿ ಮಲ್ತಿಜೆರ್.,I paid for a service that was never completed,Consumer/Money/Debt,,Land/Property,Torts/Individuals,Courts/Legal-System,0.90,False,False,False,The situation involves a dispute over property rights and inheritance.
llama3,D_sparse,28,"ಎನ್ನ ಮೆಗ್ಗೆ ರಡ್ಡ್ ವರ್ಷದ ದುಂಬು ಎನ್ನಡ್ದ ಸಾರ ದೆತ್ತೊಂಡೆ, ಅವೆನ್ ನನ್ಲಾ ಪಿರಾ ಕೊರ್ತಿಜೆ.",My brother borrowed money from me two years ago and still has not paid,Consumer/Money/Debt,,Estates/Wills,Land/Property,Torts/Individuals,0.90,False,False,False,The situation involves a dispute over property rights and inheritance after someone's death.
llama3,D_sparse,29,ಎನ್ನ ಒಪ್ಪಂದಿನ ಶುಲ್ಕಗ್ ಬ್ಯಾಂಕ್ ಎನ್ನ ಮಿತ್ತ್ ಕಾಸ್ ಪಾಡೊಂದುಂಡು.,The bank is charging me fees I never agreed to,Consumer/Money/Debt,,Consumer/Money/Debt,Torts/Individuals,Courts/Legal-System,0.90,True,True,False,The person is disputing a bank fee related to their account.
llama3,D_sparse,30,ಏರೊ ಎನನ್ ಒಂಜಿ ಡೋಂಗಿ ಆಸ್ತಿದ ಮಿತ್ತ್ ಕಾಸ್ ಪಾಡೆರೆ ಒಪ್ಪಾಯೆರ್.,Someone convinced me to invest in something that turned out to be fake,Consumer/Money/Debt,,Land/Property,Torts/Individuals,Estates/Wills,0.90,False,False,False,The situation involves a dispute over a shared property.
llama3,D_sparse,31,ಯಾನ್ ಮಲ್ತಿನ ಜಾಸ್ತಿ ಕೆಲ್ಸಗ್ ಎಂಕ್ ಬೇಲೆದ ಜಾಗಡ್ಡ್ ಕಾಸ್ ತಿಕ್ಕಿಜಿ.,My workplace has not paid me for the extra hours I worked,Work/Employment,,Land/Property,Torts/Individuals,Housing,0.80,False,False,False,The person is facing a problem related to their property (ಜಾಸ್ತಿ) and the fact that someone else's (ಎಂಕ್) property is encroaching on theirs (ಬೇಲೆದ ಜಾಗಡ್ಡ್).
llama3,D_sparse,32,ಯಾನ್ ಧನಿಟ ಯಾನ್ ಹುಷಾರ್ ಇಜ್ಜಿ ಪಂಡ್ಡ್ ಪಂಡಿನ ವಾರಡೆ ಆರ್ ಎನನ್ ಬೇಲೆಡ್ಡ್ ದೆತ್ತೆರ್.,I was fired the same week I told my boss I was sick,Work/Employment,,Courts/Legal-System,Torts/Individuals,IP/Identity,0.90,False,False,False,"The situation involves a legal issue related to property and access, which would typically be resolved through legal means."
llama3,D_sparse,33,ಎನ್ನ ಧನಿ ಎನನ್ ಸುರಕ್ಷ ದೀಪಿನ ಸಾಮಾನ್ ಕೊರ್ಪೆರ್ ಪಂದ್ ಪಂಡಿ ಬೊಕ್ಕ ಅವೆನ್ ಕೊರಂದೇ ಎನಡ ಬೇಲೆ ಮಲ್ಪಾವೊಂದುಲ್ಲೆರ್.,My employer is making me work without the safety equipment I was promised,Work/Employment,,Land/Property,Torts/Individuals,Courts/Legal-System,0.90,False,False,False,The situation involves a dispute over ownership or possession of property.
